,Table Name,State Code,District Code,Area Name,Age Group,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
48,C4114,2,0,State - HIMACHAL PRADESH (02),45-49,395128,197642,197486,350793,173489,177304,44335,24153,20182
49,C4114,2,0,State - HIMACHAL PRADESH (02),50-54,330687,165724,164963,295411,145792,149619,35276,19932,15344
50,C4114,2,0,State - HIMACHAL PRADESH (02),55-59,266860,135245,131615,240093,119998,120095,26767,15247,11520
51,C4114,2,0,State - HIMACHAL PRADESH (02),60-64,231372,115464,115908,212263,105331,106932,19109,10133,8976
52,C4114,2,0,State - HIMACHAL PRADESH (02),65-69,158607,78387,80220,146096,71950,74146,12511,6437,6074
53,C4114,2,0,State - HIMACHAL PRADESH (02),70-74,130587,62119,68468,120932,57250,63682,9655,4869,4786
54,C4114,2,0,State - HIMACHAL PRADESH (02),75-79,75706,36440,39266,69958,33561,36397,5748,2879,2869
55,C4114,2,0,State - HIMACHAL PRADESH (02),80+,106737,48465,58272,100043,45339,54704,6694,3126,3568
56,C4114,2,0,State - HIMACHAL PRADESH (02),Age not stated,10163,5353,4810,9386,4899,4487,777,454,323
57,C4114,3,0,State - PUNJAB (03),All ages,27743338,14639465,13103873,17344192,9093476,8250716,10399146,5545989,4853157
58,C4114,3,0,State - PUNJAB (03),0-4,2133529,1149956,983573,1351369,729984,621385,782160,419972,362188
59,C4114,3,0,State - PUNJAB (03),5-9,2368019,1301682,1066337,1507022,827905,679117,860997,473777,387220
60,C4114,3,0,State - PUNJAB (03),10-14,2583402,1445530,1137872,1668828,931366,737462,914574,514164,400410
61,C4114,3,0,State - PUNJAB (03),15-19,2817683,1570180,1247503,1814427,1003831,810596,1003256,566349,436907
62,C4114,3,0,State - PUNJAB (03),20-24,2776636,1465531,1311105,1706833,888739,818094,1069803,576792,493011
63,C4114,3,0,State - PUNJAB (03),25-29,2463861,1270405,1193456,1455456,738196,717260,1008405,532209,476196
64,C4114,3,0,State - PUNJAB (03),30-34,2116539,1082533,1034006,1263506,636268,627238,853033,446265,406768
65,C4114,3,0,State - PUNJAB (03),35-39,1989071,1010862,978209,1202842,604249,598593,786229,406613,379616
66,C4114,3,0,State - PUNJAB (03),40-44,1788469,909208,879261,1102644,555906,546738,685825,353302,332523
67,C4114,3,0,State - PUNJAB (03),45-49,1587771,818135,769636,964942,495583,469359,622829,322552,300277
68,C4114,3,0,State - PUNJAB (03),50-54,1254464,663664,590800,749857,397863,351994,504607,265801,238806
69,C4114,3,0,State - PUNJAB (03),55-59,956555,485845,470710,569146,283796,285350,387409,202049,185360
70,C4114,3,0,State - PUNJAB (03),60-64,996590,482483,514107,654729,309825,344904,341861,172658,169203
71,C4114,3,0,State - PUNJAB (03),65-69,719588,372806,346782,496111,257824,238287,223477,114982,108495
72,C4114,3,0,State - PUNJAB (03),70-74,513472,272120,241352,356117,191121,164996,157355,80999,76356
73,C4114,3,0,State - PUNJAB (03),75-79,256666,130203,126463,175972,89364,86608,80694,40839,39855
74,C4114,3,0,State - PUNJAB (03),80+,379501,186050,193451,274781,135823,138958,104720,50227,54493
75,C4114,3,0,State - PUNJAB (03),Age not stated,41522,22272,19250,29610,15833,13777,11912,6439,5473
76,C4114,4,0,State - CHANDIGARH (04),All ages,1055450,580663,474787,28991,17150,11841,1026459,563513,462946
77,C4114,4,0,State - CHANDIGARH (04),0-4,81854,43347,38507,3021,1611,1410,78833,41736,37097
78,C4114,4,0,State - CHANDIGARH (04),5-9,91194,49255,41939,2921,1572,1349,88273,47683,40590
79,C4114,4,0,State - CHANDIGARH (04),10-14,93464,52140,41324,2537,1421,1116,90927,50719,40208
80,C4114,4,0,State - CHANDIGARH (04),15-19,104418,60521,43897,2765,1787,978,101653,58734,42919
81,C4114,4,0,State - CHANDIGARH (04),20-24,121244,68467,52777,3593,2255,1338,117651,66212,51439
82,C4114,4,0,State - CHANDIGARH (04),25-29,110237,60694,49543,3806,2260,1546,106431,58434,47997
83,C4114,4,0,State - CHANDIGARH (04),30-34,90803,49625,41178,3101,1902,1199,87702,47723,39979
84,C4114,4,0,State - CHANDIGARH (04),35-39,83672,45566,38106,2321,1455,866,81351,44111,37240
85,C4114,4,0,State - CHANDIGARH (04),40-44,68921,37268,31653,1547,947,600,67374,36321,31053
86,C4114,4,0,State - CHANDIGARH (04),45-49,60352,32893,27459,1049,638,411,59303,32255,27048
87,C4114,4,0,State - CHANDIGARH (04),50-54,46942,26108,20834,723,415,308,46219,25693,20526
88,C4114,4,0,State - CHANDIGARH (04),55-59,34925,19745,15180,503,272,231,34422,19473,14949
89,C4114,4,0,State - CHANDIGARH (04),60-64,25801,13530,12271,481,277,204,25320,13253,12067
90,C4114,4,0,State - CHANDIGARH (04),65-69,15839,8250,7589,255,140,115,15584,8110,7474
91,C4114,4,0,State - CHANDIGARH (04),70-74,11385,5998,5387,181,96,85,11204,5902,5302
92,C4114,4,0,State - CHANDIGARH (04),75-79,6422,3255,3167,75,43,32,6347,3212,3135
93,C4114,4,0,State - CHANDIGARH (04),80+,7631,3800,3831,106,55,51,7525,3745,3780
94,C4114,4,0,State - CHANDIGARH (04),Age not stated,346,201,145,6,4,2,340,197,143
95,C4114,5,0,State - UTTARAKHAND (05),All ages,10086292,5137773,4948519,7036954,3519042,3517912,3049338,1618731,1430607
96,C4114,5,0,State - UTTARAKHAND (05),0-4,924864,488988,435876,677293,356937,320356,247571,132051,115520
97,C4114,5,0,State - UTTARAKHAND (05),5-9,1058801,560179,498622,770582,404255,366327,288219,155924,132295
98,C4114,5,0,State - UTTARAKHAND (05),10-14,1145343,603274,542069,835418,434578,400840,309925,168696,141229
99,C4114,5,0,State - UTTARAKHAND (05),15-19,1124110,588483,535627,792898,407069,385829,331212,181414,149798
100,C4114,5,0,State - UTTARAKHAND (05),20-24,970068,484614,485454,648027,312431,335596,322041,172183,149858
101,C4114,5,0,State - UTTARAKHAND (05),25-29,810184,397363,412821,529754,253277,276477,280430,144086,136344
102,C4114,5,0,State - UTTARAKHAND (05),30-34,698300,345427,352873,459156,221890,237266,239144,123537,115607
103,C4114,5,0,State - UTTARAKHAND (05),35-39,665500,330834,334666,441348,215242,226106,224152,115592,108560
104,C4114,5,0,State - UTTARAKHAND (05),40-44,566709,285531,281178,378652,187060,191592,188057,98471,89586
105,C4114,5,0,State - UTTARAKHAND (05),45-49,489377,247982,241395,325900,160955,164945,163477,87027,76450
106,C4114,5,0,State - UTTARAKHAND (05),50-54,397158,202024,195134,270074,133037,137037,127084,68987,58097
107,C4114,5,0,State - UTTARAKHAND (05),55-59,318461,151865,166596,221366,100962,120404,97095,50903,46192
108,C4114,5,0,State - UTTARAKHAND (05),60-64,329056,163220,165836,244791,119263,125528,84265,43957,40308
109,C4114,5,0,State - UTTARAKHAND (05),65-69,218759,108412,110347,163102,78840,84262,55657,29572,26085
110,C4114,5,0,State - UTTARAKHAND (05),70-74,163443,80970,82473,124907,60605,64302,38536,20365,18171
111,C4114,5,0,State - UTTARAKHAND (05),75-79,84646,40837,43809,64561,30697,33864,20085,10140,9945
112,C4114,5,0,State - UTTARAKHAND (05),80+,104905,48458,56447,78653,36196,42457,26252,12262,13990
113,C4114,5,0,State - UTTARAKHAND (05),Age not stated,16608,9312,7296,10472,5748,4724,6136,3564,2572
114,C4114,6,0,State - HARYANA (06),All ages,25351462,13494734,11856728,16509359,8774006,7735353,8842103,4720728,4121375
115,C4114,6,0,State - HARYANA (06),0-4,2362519,1283789,1078730,1602923,870623,732300,759596,413166,346430
116,C4114,6,0,State - HARYANA (06),5-9,2498757,1371825,1126932,1679882,920472,759410,818875,451353,367522
117,C4114,6,0,State - HARYANA (06),10-14,2668678,1474136,1194542,1812859,996086,816773,855819,478050,377769
118,C4114,6,0,State - HARYANA (06),15-19,2677390,1487548,1189842,1799991,994391,805600,877399,493157,384242
119,C4114,6,0,State - HARYANA (06),20-24,2567486,1372799,1194687,1658579,889577,769002,908907,483222,425685
120,C4114,6,0,State - HARYANA (06),25-29,2231959,1178340,1053619,1384241,737729,646512,847718,440611,407107
121,C4114,6,0,State - HARYANA (06),30-34,1893591,976844,916747,1174200,605409,568791,719391,371435,347956
122,C4114,6,0,State - HARYANA (06),35-39,1761863,912717,849146,1097613,569510,528103,664250,343207,321043
123,C4114,6,0,State - HARYANA (06),40-44,1505950,790581,715369,947369,495956,451413,558581,294625,263956
124,C4114,6,0,State - HARYANA (06),45-49,1241814,655749,586065,765054,403338,361716,476760,252411,224349
125,C4114,6,0,State - HARYANA (06),50-54,965228,510688,454540,590288,310495,279793,374940,200193,174747
126,C4114,6,0,State - HARYANA (06),55-59,750938,374209,376729,462888,224344,238544,288050,149865,138185
127,C4114,6,0,State - HARYANA (06),60-64,844349,413958,430391,573957,276636,297321,270392,137322,133070
128,C4114,6,0,State - HARYANA (06),65-69,504439,255270,249169,343427,171739,171688,161012,83531,77481
129,C4114,6,0,State - HARYANA (06),70-74,374161,188304,185857,260398,130774,129624,113763,57530,56233
130,C4114,6,0,State - HARYANA (06),75-79,196217,97692,98525,136964,68101,68863,59253,29591,29662
131,C4114,6,0,State - HARYANA (06),80+,274589,133397,141192,198145,97815,100330,76444,35582,40862
132,C4114,6,0,State - HARYANA (06),Age not stated,31534,16888,14646,20581,11011,9570,10953,5877,5076
133,C4114,7,0,State - NCT OF DELHI (07),All ages,16787941,8987326,7800615,419042,226321,192721,16368899,8761005,7607894
134,C4114,7,0,State - NCT OF DELHI (07),0-4,1381200,734336,646864,39125,21481,17644,1342075,712855,629220
135,C4114,7,0,State - NCT OF DELHI (07),5-9,1535972,829487,706485,42594,23698,18896,1493378,805789,687589
136,C4114,7,0,State - NCT OF DELHI (07),10-14,1648147,895446,752701,45883,25479,20404,1602264,869967,732297
137,C4114,7,0,State - NCT OF DELHI (07),15-19,1667375,925118,742257,44367,24916,19451,1623008,900202,722806
138,C4114,7,0,State - NCT OF DELHI (07),20-24,1764060,951411,812649,44407,23805,20602,1719653,927606,792047
139,C4114,7,0,State - NCT OF DELHI (07),25-29,1668326,878196,790130,39250,20584,18666,1629076,857612,771464
140,C4114,7,0,State - NCT OF DELHI (07),30-34,1434699,757455,677244,33833,17431,16402,1400866,740024,660842
141,C4114,7,0,State - NCT OF DELHI (07),35-39,1319244,698455,620789,31648,16738,14910,1287596,681717,605879
142,C4114,7,0,State - NCT OF DELHI (07),40-44,1097197,590858,506339,25962,14180,11782,1071235,576678,494557
143,C4114,7,0,State - NCT OF DELHI (07),45-49,911213,495227,415986,19676,10981,8695,891537,484246,407291
144,C4114,7,0,State - NCT OF DELHI (07),50-54,687469,376222,311247,14347,7917,6430,673122,368305,304817
145,C4114,7,0,State - NCT OF DELHI (07),55-59,508892,269185,239707,10299,5372,4927,498593,263813,234780
146,C4114,7,0,State - NCT OF DELHI (07),60-64,472019,238103,233916,11624,5700,5924,460395,232403,227992
147,C4114,7,0,State - NCT OF DELHI (07),65-69,272452,139398,133054,6123,3125,2998,266329,136273,130056
148,C4114,7,0,State - NCT OF DELHI (07),70-74,189250,94947,94303,4318,2171,2147,184932,92776,92156
149,C4114,7,0,State - NCT OF DELHI (07),75-79,100693,50446,50247,2047,980,1067,98646,49466,49180
150,C4114,7,0,State - NCT OF DELHI (07),80+,113031,53861,59170,3022,1482,1540,110009,52379,57630
151,C4114,7,0,State - NCT OF DELHI (07),Age not stated,16702,9175,7527,517,281,236,16185,8894,7291
152,C4114,8,0,State - RAJASTHAN (08),All ages,68548437,35550997,32997440,51500352,26641747,24858605,17048085,8909250,8138835
153,C4114,8,0,State - RAJASTHAN (08),0-4,7302170,3858574,3443596,5770924,3045730,2725194,1531246,812844,718402
154,C4114,8,0,State - RAJASTHAN (08),5-9,8042738,4258873,3783865,6326379,3336981,2989398,1716359,921892,794467
155,C4114,8,0,State - RAJASTHAN (08),10-14,8380518,4430696,3949822,6537189,3446732,3090457,1843329,983964,859365
156,C4114,8,0,State - RAJASTHAN (08),15-19,7314017,3889874,3424143,5496935,2918083,2578852,1817082,971791,845291
157,C4114,8,0,State - RAJASTHAN (08),20-24,6426494,3377483,3049011,4682761,2471674,2211087,1743733,905809,837924
158,C4114,8,0,State - RAJASTHAN (08),25-29,5348497,2763059,2585438,3832693,1981853,1850840,1515804,781206,734598
159,C4114,8,0,State - RAJASTHAN (08),30-34,4722683,2384569,2338114,3412817,1716111,1696706,1309866,668458,641408
160,C4114,8,0,State - RAJASTHAN (08),35-39,4334564,2201790,2132774,3130395,1585834,1544561,1204169,615956,588213
161,C4114,8,0,State - RAJASTHAN (08),40-44,3735355,1926916,1808439,2704801,1390594,1314207,1030554,536322,494232
162,C4114,8,0,State - RAJASTHAN (08),45-49,3145404,1608512,1536892,2265671,1150068,1115603,879733,458444,421289
163,C4114,8,0,State - RAJASTHAN (08),50-54,2516808,1345007,1171801,1817629,968094,849535,699179,376913,322266
164,C4114,8,0,State - RAJASTHAN (08),55-59,1897449,935866,961583,1383879,668669,715210,513570,267197,246373
165,C4114,8,0,State - RAJASTHAN (08),60-64,1770139,884024,886115,1343329,666272,677057,426810,217752,209058
166,C4114,8,0,State - RAJASTHAN (08),65-69,1260376,589471,670905,971320,448876,522444,289056,140595,148461
167,C4114,8,0,State - RAJASTHAN (08),70-74,1016915,490011,526904,795430,382456,412974,221485,107555,113930
168,C4114,8,0,State - RAJASTHAN (08),75-79,477655,216016,261639,364642,162014,202628,113013,54002,59011
169,C4114,8,0,State - RAJASTHAN (08),80+,587053,252741,334312,449071,193050,256021,137982,59691,78291
170,C4114,8,0,State - RAJASTHAN (08),Age not stated,269602,137515,132087,214487,108656,105831,55115,28859,26256
171,C4114,9,0,State - UTTAR PRADESH (09),All ages,199812341,104480510,95331831,155317278,80992995,74324283,44495063,23487515,21007548
172,C4114,9,0,State - UTTAR PRADESH (09),0-4,20376668,10660474,9716194,16556223,8640363,7915860,3820445,2020111,1800334
173,C4114,9,0,State - UTTAR PRADESH (09),5-9,25061717,13250331,11811386,20362456,10744603,9617853,4699261,2505728,2193533
174,C4114,9,0,State - UTTAR PRADESH (09),10-14,25869881,13679154,12190727,20773940,10962322,9811618,5095941,2716832,2379109
175,C4114,9,0,State - UTTAR PRADESH (09),15-19,23040380,12307573,10732807,17779084,9493418,8285666,5261296,2814155,2447141
176,C4114,9,0,State - UTTAR PRADESH (09),20-24,17578648,9405485,8173163,12989044,6927701,6061343,4589604,2477784,2111820
177,C4114,9,0,State - UTTAR PRADESH (09),25-29,14579829,7466367,7113462,10860729,5531452,5329277,3719100,1934915,1784185
178,C4114,9,0,State - UTTAR PRADESH (09),30-34,12954682,6431401,6523281,9810399,4825061,4985338,3144283,1606340,1537943
179,C4114,9,0,State - UTTAR PRADESH (09),35-39,12556222,6401231,6154991,9523701,4848208,4675493,3032521,1553023,1479498
180,C4114,9,0,State - UTTAR PRADESH (09),40-44,10231402,5395162,4836240,7685262,4053994,3631268,2546140,1341168,1204972
181,C4114,9,0,State - UTTAR PRADESH (09),45-49,8449777,4382148,4067629,6278251,3240893,3037358,2171526,1141255,1030271
182,C4114,9,0,State - UTTAR PRADESH (09),50-54,6587023,3571917,3015106,4912691,2662431,2250260,1674332,909486,764846
183,C4114,9,0,State - UTTAR PRADESH (09),55-59,5464146,2626201,2837945,4166600,1960534,2206066,1297546,665667,631879
184,C4114,9,0,State - UTTAR PRADESH (09),60-64,5705191,2968771,2736420,4555476,2363521,2191955,1149715,605250,544465
185,C4114,9,0,State - UTTAR PRADESH (09),65-69,3839969,1958472,1881497,3116965,1583084,1533881,723004,375388,347616
186,C4114,9,0,State - UTTAR PRADESH (09),70-74,2832368,1535092,1297276,2317686,1262445,1055241,514682,272647,242035
187,C4114,9,0,State - UTTAR PRADESH (09),75-79,1249892,638877,611015,1008251,514186,494065,241641,124691,116950
188,C4114,9,0,State - UTTAR PRADESH (09),80+,1812484,935921,876563,1448090,754399,693691,364394,181522,182872
189,C4114,9,0,State - UTTAR PRADESH (09),Age not stated,1622062,865933,756129,1172430,624380,548050,449632,241553,208079
190,C4114,10,0,State - BIHAR (10),All ages,104099452,54278157,49821295,92341436,48073850,44267586,11758016,6204307,5553709
191,C4114,10,0,State - BIHAR (10),0-4,12765029,6576871,6188158,11600288,5969825,5630463,1164741,607046,557695
192,C4114,10,0,State - BIHAR (10),5-9,15036277,7796359,7239918,13630801,7057963,6572838,1405476,738396,667080
193,C4114,10,0,State - BIHAR (10),10-14,13919882,7323831,6596051,12472947,6563975,5908972,1446935,759856,687079
194,C4114,10,0,State - BIHAR (10),15-19,9472695,5290581,4182114,8243729,4622498,3621231,1228966,668083,560883
195,C4114,10,0,State - BIHAR (10),20-24,8064735,4210585,3854150,7011053,3644529,3366524,1053682,566056,487626
196,C4114,10,0,State - BIHAR (10),25-29,7671705,3828687,3843018,6722688,3340162,3382526,949017,488525,460492
197,C4114,10,0,State - BIHAR (10),30-34,7055737,3510596,3545141,6203044,3074406,3128638,852693,436190,416503
198,C4114,10,0,State - BIHAR (10),35-39,6457261,3308161,3149100,5671251,2902365,2768886,786010,405796,380214
199,C4114,10,0,State - BIHAR (10),40-44,5165692,2756809,2408883,4510868,2404576,2106292,654824,352233,302591
200,C4114,10,0,State - BIHAR (10),45-49,4270374,2209994,2060380,3721533,1918799,1802734,548841,291195,257646
201,C4114,10,0,State - BIHAR (10),50-54,3312740,1808425,1504315,2885694,1575237,1310457,427046,233188,193858
202,C4114,10,0,State - BIHAR (10),55-59,2796678,1330356,1466322,2450329,1151517,1298812,346349,178839,167510
203,C4114,10,0,State - BIHAR (10),60-64,3008008,1559925,1448083,2677437,1385714,1291723,330571,174211,156360
204,C4114,10,0,State - BIHAR (10),65-69,2089779,1103718,986061,1870640,986570,884070,219139,117148,101991
205,C4114,10,0,State - BIHAR (10),70-74,1379531,784383,595148,1231828,701151,530677,147703,83232,64471
206,C4114,10,0,State - BIHAR (10),75-79,550479,297973,252506,486894,263161,223733,63585,34812,28773
207,C4114,10,0,State - BIHAR (10),80+,679348,360594,318754,601387,320855,280532,77961,39739,38222
208,C4114,10,0,State - BIHAR (10),Age not stated,403502,220309,183193,349025,190547,158478,54477,29762,24715
209,C4114,11,0,State - SIKKIM (11),All ages,610577,323070,287507,456999,242797,214202,153578,80273,73305
210,C4114,11,0,State - SIKKIM (11),0-4,42336,21685,20651,32382,16541,15841,9954,5144,4810
211,C4114,11,0,State - SIKKIM (11),5-9,56678,28688,27990,44158,22334,21824,12520,6354,6166
212,C4114,11,0,State - SIKKIM (11),10-14,66923,33965,32958,52191,26588,25603,14732,7377,7355
213,C4114,11,0,State - SIKKIM (11),15-19,66937,33998,32939,50759,25943,24816,16178,8055,8123
214,C4114,11,0,State - SIKKIM (11),20-24,67297,35146,32151,49839,26301,23538,17458,8845,8613
215,C4114,11,0,State - SIKKIM (11),25-29,64639,34700,29939,46628,25475,21153,18011,9225,8786
216,C4114,11,0,State - SIKKIM (11),30-34,52225,28562,23663,37412,20788,16624,14813,7774,7039
217,C4114,11,0,State - SIKKIM (11),35-39,43627,23396,20231,30928,16613,14315,12699,6783,5916
218,C4114,11,0,State - SIKKIM (11),40-44,36552,20170,16382,26111,14402,11709,10441,5768,4673
219,C4114,11,0,State - SIKKIM (11),45-49,29462,16114,13348,21104,11394,9710,8358,4720,3638
220,C4114,11,0,State - SIKKIM (11),50-54,24432,13624,10808,18081,10021,8060,6351,3603,2748
221,C4114,11,0,State - SIKKIM (11),55-59,17541,9913,7628,13219,7390,5829,4322,2523,1799
222,C4114,11,0,State - SIKKIM (11),60-64,13550,7441,6109,10875,5971,4904,2675,1470,1205
223,C4114,11,0,State - SIKKIM (11),65-69,10483,5593,4890,8532,4584,3948,1951,1009,942
224,C4114,11,0,State - SIKKIM (11),70-74,7561,4304,3257,6280,3624,2656,1281,680,601
225,C4114,11,0,State - SIKKIM (11),75-79,4516,2556,1960,3736,2150,1586,780,406,374
226,C4114,11,0,State - SIKKIM (11),80+,4642,2578,2064,3777,2147,1630,865,431,434
227,C4114,11,0,State - SIKKIM (11),Age not stated,1176,637,539,987,531,456,189,106,83
228,C4114,12,0,State - ARUNACHAL PRADESH (12),All ages,1383727,713912,669815,1066358,546011,520347,317369,167901,149468
229,C4114,12,0,State - ARUNACHAL PRADESH (12),0-4,142879,72464,70415,115773,58593,57180,27106,13871,13235
230,C4114,12,0,State - ARUNACHAL PRADESH (12),5-9,171123,86699,84424,138348,70237,68111,32775,16462,16313
231,C4114,12,0,State - ARUNACHAL PRADESH (12),10-14,179359,90439,88920,140026,70980,69046,39333,19459,19874
232,C4114,12,0,State - ARUNACHAL PRADESH (12),15-19,155968,78673,77295,116064,58961,57103,39904,19712,20192
233,C4114,12,0,State - ARUNACHAL PRADESH (12),20-24,131696,66033,65663,97891,49023,48868,33805,17010,16795
234,C4114,12,0,State - ARUNACHAL PRADESH (12),25-29,123714,63366,60348,90931,45974,44957,32783,17392,15391
235,C4114,12,0,State - ARUNACHAL PRADESH (12),30-34,101171,52462,48709,74292,38006,36286,26879,14456,12423
236,C4114,12,0,State - ARUNACHAL PRADESH (12),35-39,94391,48211,46180,69148,34826,34322,25243,13385,11858
237,C4114,12,0,State - ARUNACHAL PRADESH (12),40-44,78603,42861,35742,57742,30631,27111,20861,12230,8631
238,C4114,12,0,State - ARUNACHAL PRADESH (12),45-49,63679,35173,28506,47781,25465,22316,15898,9708,6190
239,C4114,12,0,State - ARUNACHAL PRADESH (12),50-54,46110,26487,19623,36249,20048,16201,9861,6439,3422
240,C4114,12,0,State - ARUNACHAL PRADESH (12),55-59,29886,16996,12890,24559,13401,11158,5327,3595,1732
241,C4114,12,0,State - ARUNACHAL PRADESH (12),60-64,25445,13492,11953,22262,11659,10603,3183,1833,1350
242,C4114,12,0,State - ARUNACHAL PRADESH (12),65-69,14973,7642,7331,13346,6755,6591,1627,887,740
243,C4114,12,0,State - ARUNACHAL PRADESH (12),70-74,10647,5547,5100,9647,5048,4599,1000,499,501
244,C4114,12,0,State - ARUNACHAL PRADESH (12),75-79,5135,2687,2448,4655,2435,2220,480,252,228
245,C4114,12,0,State - ARUNACHAL PRADESH (12),80+,7439,3821,3618,6451,3308,3143,988,513,475
246,C4114,12,0,State - ARUNACHAL PRADESH (12),Age not stated,1509,859,650,1193,661,532,316,198,118
